Вакансия,URL,Компания,Описание
Senior .NET Developer (Brest),https://hh.ru/vacancy/28939383?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, iTechArt Group,"New feature development. Analysis and preparation of technical solutions. Refactoring and redesign of existing features. Communication with customers (Agile methodology).  3+ years’ experience in .NET development. Strong knowledge of .NET Framework, ASP.NET MVC/Core, SQL databases, Entity Framework. "
Java Developer (Brest),https://hh.ru/vacancy/25694688?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, iTechArt Group,"Participate in the full life-cycle of software development. Writing high-quality, tested, well-documented code. Mentoring junior developers. Proven experience in commercial web applications development. Good knowledge of Patterns/OOP Practices, Spring Framework, Hibernate, JUnit, Maven. "
Front-end Developer (Brest),https://hh.ru/vacancy/30203688?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, iTechArt Group,"Creating reusable components for quick integration of similar features. Analyzing designs and devising / implementing a front-end interface.  1+ years’ experience in front-end development. Strong knowledge of JavaScript frameworks such as Angular, ReactJS, Ember.js, Backbone.js, Knockout.js. "
Golang Developer,https://hh.ru/vacancy/32391166?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, 1pt / Уан Поинт,Annual performance/salary reviews. Our ideal teammate: Is a developer with 4+ years of hands-on back-end programming experience. Has at least...
Ruby Developer (Brest),https://hh.ru/vacancy/25277680?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, iTechArt Group,Taking active part on ongoing projects which includes. Communication with customers and team. Development of new functionality. Proactive problem solving. Minimum 2 years web experience. Minimum 1 year Ruby on Rails experience. Knowledge and experience of Ruby and Ruby frameworks. 
Junior Front-end developer,https://hh.ru/vacancy/32376529?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Сакцесс," Понимание принципов ООП. Понимание специфики Web программирования. Знание JavaScript, HTML, CSS. Большим плюсом будет: Знание одного из современных клиентских фреймворков..."
Salesforce Developer,https://hh.ru/vacancy/32368202?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ЭйчАрБизнесАльянс,"Работа на клиентских Salesforce проектах. Работа с Sales Cloud, Service Cloud, Marketing Cloud, Pardot и настройка бизнес процессов.  Наличие высшего технического образования (возможно также рассмотрение студентов 4-го курса). Уровень английского языка ""Intermediate"" и выше. Хорошие коммуникационные и..."
Программист Java,https://hh.ru/vacancy/32269649?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,УП АГАТракПартс," Знание PHP, MySQL, HTML/CSS, JavaScript, jQuery. Знания и понимание Front-end и Back-end разработки. Умение быстро находить решение..."
Android developer,https://hh.ru/vacancy/32319541?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО ПроБелТах,"Развивать и поддерживать Android приложение. Участвовать в проработке, проверке и внедрении продуктовых гипотез. Проводить Code Review. Участвовать в принятии технических... Мы ищем Middle/Senior Android разработчика с опытом от 3 лет. Опыт разработки под Android SDK: Kotlin, RxJava2, Dagger..."
MQL-программист (платформы MetaTrader 4 и MetaTrader 5),https://hh.ru/vacancy/32275632?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Прототех,"Написание торговых роботов (советников), скриптов для терминалов MetaTrader 4 и MetaTrader 5. Работа с котировками в терминале (экспорт, импорт, конвертация... Опыт написания торговых роботов, скриптов и индикаторов в MQL. Ответственность, инициативность и желание развиваться. Навыки аккуратного написания кода. "
Специалист технической поддержки (техник-программист системный),https://hh.ru/vacancy/32260651?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО БайТехСервис,"В команду HelpDesk подойдут: - принимать звонки от клиентов. - удаленно решать проблемы возникающие с банковским ПО, почтовыми клиентами, криптозащитой, настройками баз... выпускники вузов IT-специальностей. - студенты 3-5 курсов IT-специальностей. - #очная #заочная #вечерняя форма обучения. - с грамотной речью, желанием помогать..."
"Программист Delphi, C#, SQL",https://hh.ru/vacancy/31778766?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Торговый дом Лагуна,"Доработка и сопровождение собственного программного обеспечения. Участие в проектах по разработке и внедрению программного обеспечения. ...ваш код будет анализировать не только компьютер, но и другой программист). Желание развиваться, активная жизненная позиция. Нацеленность на результат, ответственный..."
Middle/Senior Android developer,https://hh.ru/vacancy/32233498?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, SaM Solutions Самсолюшнс,"Участие в престижных проектах с новыми технологиями. Наличие солидного опыта в Java и Kotlin (тут важно наличие именно и того, и другого). Опыт работы с Gradle. "
"Middle AngularJS (Node.js) Developer, Brest",https://hh.ru/vacancy/31777042?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,УП СмартексЛаб Солюшинс,"Rx.js. SmatexLab молодая и развивающаяся компания, 5 лет, 40 сотрудников. Работаем с клиентами из США, Германии, Великобритании. Основная специализация: разработка... Продакшн опыт от 2 лет. Уверенное знание теории JavaScript. Опыт в AngularJS. Html5/Css3. Желательно также иметь опыт..."
Senior 3D .NET Developer,https://hh.ru/vacancy/32203203?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Exadel,"Work with GLSL scripting language to create a real life looking images using shading techniques, that can be dynamically animated.  In-depth knowledge of rendering pipelines & farm-management, composition. Developing software/automation for this. Good knowledge of GLSL/WebGL/TypeScript..."
Lead/Senior Java Developer,https://hh.ru/vacancy/32202980?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82, Exadel,"Write well designed, testable, efficient code. Contribute in all phases of the development lifecycle. Ensure designs are in compliance with... Ability to perform technical research: resolve technical challenges in development, integration and code testing. Proficiency at understanding an existing codebase..."
Middle Front-end developer,https://hh.ru/vacancy/31724783?query=%D0%9F%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82,ООО Сакцесс," 3+ года опыта работы в качестве Front-end разработчика. Отличное знание JavaScript, HTMl, CSS. Опыт работы с AngularJS, Angular..."
